Name,NumberOfReviews,Location,Rank,Review
¼­¿ï¾à·É½ÃÀå,50°ÇÀÇ<U+00A0>¸®ºä,"¼­¿ï µ¿´ë¹®±¸ ¾à·ÉÁß¾Ó·Î8±æ 10 1È£¼± Á¦±âµ¿¿ª, °æµ¿½ÃÀå ¿· (¿ì) 02570",38À§(502°÷ÀÇ ¼­¿ï ¼ÒÀç ¼îÇÎ Áß),"<U+5642>÷×ªê<U+99C5>ªòË½ªêª¿ªé<U+5642>÷×ªê
Ò´ÛÕªÎÛ°<U+3005>ªÎÒıª¯ùÓÛ°ªÎ<U+5302>ª¤ª¬ª¹ªëÊ¶ªÇª·ª¿¡£
ùÓÛ°ªòÊÀğúÏÅìıª·ëÀÙ¾<U+5264>¡¢à´<U+9E78>ªäÍÔÕòìÑ<U+53C2>«¨«­«¹ÔõªâÏÅ...´õ º¸±âªªïÁª¬ª¿ª¯ªµªóª¢ªê¡¢ªÉª³ªËú¼ªÃªÆªâ<U+697D>ª·ª¯ªÆ¡¢õö<U+5B9F>ª·ªÆª¤ªŞª·ª¿¡£ª¿ª¯ªµªóªÎªªïÁªÇØâª¤Úªªò<U+697D>ª·ªáªŞª·ª¿¡£<U+6BCE>üŞùÛ<U+56FD>ªË<U+6765>ªëªÈÛ¾Ùıª·ªŞª¹¡£
ÍÔÕò«Ë«ó«¸«óªòØâª¤ªËú¼ª­ªŞª¹¡£
ú¼ª­ªÄª±ªÎ«ª«â«ËªÏ<U+899A>ª¨ªÆª¯ªìªÆª¤ªÆ
ığª·ª¤ªÇª¹¡£
ªª÷Ïß§ªâ...´õ º¸±âØªÛöªÎİÏªò<U+983C>ªŞªìÏÅìıª·ªË¡£
ªÄª¤ªÇªË«¯«³¡¢«¢«ó«ºªâÏÅìı¡£
«««¤«³ªÏö«ª¤ª¬Ùí×âªÀªÃª¿ªÎªÇ
ªäªáªŞª·ª¿¡£
ùÓÛ°ªÎà´<U+9E78>ª¬öÇª¤ªÆ...´õ º¸±â«Á«§«®«É«ó<U+99C5>ªòË½ªêªëªÈ¡¢<U+99C5>Ï°<U+5185>ªËùÓÛ°ªËŞÅªïªìªëĞïÎıªäùÓÛ°<U+85AC>ª¬«Ç«£«¹«×«ì«¤ªµªìªÆª¤ªÆ¡¢ªŞªµªËùÓÛ°ªÎÊ¶¡£ã¼íŞªË<U+7D9A>ª¯Ô³ªÏÖÚô¸ªÈ...´õ º¸±â<U+99C5>ªòªÇª¿ªÈª¿ªóùÓÛ°ªËª¢ªÕªìªÆªŞª¹¡£ÙÍîÜªÏ«½«¦«ëùÛÛ°òÉıé«»«ó«¿<U+30FC><U+30FB>«½«¦«ë<U+85AC>Öµã¼ùÛ<U+533B><U+85AC>ÚÏÚªÎ½ªËú¼ª¯ª³ªÈªÇª³ªÎã¼íŞªò÷×Î¦ª·ªŞª·...´õ º¸±âÔÔÓŞÚ¦Û°ØüªËªàª«ªÃªÆò¢ù»<U+9244>ªòªÎªêª«ª¨ªÆª¤ª­ªŞª·ª¿¡£
èâªËªÇªëªÈªâªÎª¹ª´ª¤á§ª¤ùÓÛ°ªÎúÅªêª¬¡£
ªŞªºªÏªªÜÙª¬ª¹ª¤ª¿ªÎªÇùÓÛ°ª¬...´õ º¸±âåøå³ğ¤ªÎ<U+70BA>ªË¡¢£±£°ãÁ«ª<U+30FC>«×«óªËú¼ª­ªŞª·ª¿ª¬<U+65E2>ªËåøå³ª¬ª¦ªŞªÃªÆª¤ªëãÁÊàª¬ª¢ªêªŞª·ª¿¡£áôÜõªÇªªÑÑªòò¨<U+6255>ª¤åøå³ªòª·ªŞª¹¡£ŞçªÏê¡...´õ º¸±âùÛÛ°İÏªòÏ´ªáªÆñ£ÖØª«ªé«Ğ«¹ªÇú¼ª­ªŞª·ª¿¡£ñ£ÖØ3Ê¶ªäÔÔÓŞÚ¦ªò÷×ªêÎ¦ª®¡¢10İÂïïªÇÓğó·¡£
ò¢êªªÎªªª¸ªµªó£¦ªªªĞªµªóªÇ«ï«¤«ï«¤...´õ º¸±âò¢ù»<U+9244>ğ®ĞñÔ×2ÛãõóÏ¢ªòõóªëªÈá³ªµªÊã¼íŞªÎªèª¦ªËªÊªÃªÆª¤ªŞª¹¡£Ô³ªÊªêªËòäªóªÀìéÛã<U+5965>ªÎïÁªÏ«É<U+30FC>«àúş«±<U+30FC>«¹ªÎñéªËßä<U+3005>ªÊùÓÛ°ªÎİÏ...´õ º¸±â"
¼¼Á¾´ë¿Õ ±â³ä°ü,49°ÇÀÇ<U+00A0>¸®ºä,¼­¿ï µ¿´ë¹®±¸ Ã»·®¸®µ¿ »ê1-157 (¿ì) 130-010,134À§(933°÷ÀÇ ¼­¿ï ¼ÒÀç °ü±¤Áö Áß),"free museum we surprisingly found as we were walking toward the palace down the middle where the fountain and outside statue is located. we went underground and entered for free. there you will find exhibits of korean artifacts. and there is an interactive area for kids and adults alike where you can make a key chain and other crafts for about 1000won. there is also a gift shop with drink refreshments and a restaurant. a good respite from the heat of summer. bathrooms are clean.This is actually a museum, whose entrance is a passageway behind the Statue of King Sejong the Great. The museum exhibits has English explanation, dedicating the life and achievements of King Sejong. There is a small movie room where you can watch a video as well. It also connects to another part of the museum dedicated to Admiral Yi Sun-Shin. He is famous for defeating the Japanese with the famed turtle ship that helped win the war. There is a replica of a turtle ship you can walk on. Being underground and free admission, it is a good way to take a break from the heat or rain, enjoy some air con and also use the toilet facilities.Briefly, we passed by the memorial hall of King Sejong. It was a nice area to check Korea's hangul (alphabet) history.Constructed in the memory Greatest king of Korea, King Sejong , this underground museum traces his life, achievement and contribution to the development of the nation.We passed by the underground museum when we were heading to the Palace from the Stream. The entrance way under the King¡¯s statue, no admission fee. Good to have a quick visit if you don¡¯t have much time. Not so crowded as other places in Seoul.This underground museum is a good place to visit if you're passing by Gwanghamun Square. It's a good way to escape the heat during a hot day, to warm yourself during winter and to pass time during a rainy day.You'll get to be inspired by the story of King Sejong as you walk thru the tunnel, read his achievements and see how his works have benefited the country.Connected with the king Sejong statue on the guanghuamun square and it's a free admission exhibition, which shows how the Hanja was created (by king Sejong) the evolution of Korea, next to it is the Yi sun sin exhibition, which shows a replica of the infamous turtle battleship. There are activities for kids also practising Hanja characters, rebuilding of the battle ship etc.Not being familiar with this aspect of Korean history, this was a nice introduction. The museum is open, modern, and well maintained. Offered several opportunities for children to interact using technology. This would be good for a rainy day as it is all indoors. It is located near the Palace, Ferry Memorial, and US embassy. There are several coffee shops within walking distance. To be honest, I didn't go too into depth at this museum, but it was nice to walk around and get the gist of it.Lot of Information is on display. Videos , Photos & Historic relics have been kept inside
Must visit for TouristsThis place has interactive displays and some very informative sections on two of Korea's greatest heroes. As a non-Korean speaker there was still enough information for me to get a great deal out of our visit. Not sure the 4D film added much, but it was free, and only lasted 9 minutes!"
³ë·®Áø ¼ö»ê¹° µµ¸Å½ÃÀå,876°ÇÀÇ<U+00A0>¸®ºä,¼­¿ï µ¿ÀÛ±¸ ³ëµé·Î 674 Metro #1 Noryangjin Station (¿ì) 06900,102À§(933°÷ÀÇ ¼­¿ï ¼ÒÀç °ü±¤Áö Áß),"The best place to get seafood in Seoul. The fish stall are linked to the restaurant, so Khuan need to select and they will cook for you. A bit pricey but the king crab is worth the price. A heartfelt meal for the whole family.The lady that sealling the fresh seafood was very friendly and give us advise on the seafood that we chose. And the price is reasonable too.
But be careful of the restaurant you going to choose.they will charge you the price very high..that what happend...´õ º¸±âVisited on a weekday morning and it's not crowded. Abundance of stalls selling live seafood. The lady selling us the seafood was extremely friendly but the guy was quite arrogant! She also brought us to a small restaurant on another floor to prepare the seafood...´õ º¸±âAll fresh seafood are here . Not too expensive. And you can choose the restaurant for cooking upstairs . The price for cooking is also cheap . Very impressed . Some use English speaking, very easy to communicateWent to Noryangjin fish market with my wife to treat ourselves to king crab. Managed to get a good price for 2.8kg crab ($180Aud), however, we were stung by the restaurant preparing our crab. First there was the serving fee ( which almost doubled in...´õ º¸±âMy friends mum said this place made new building.
So big..!!!  We choose sea foods then go up stairs one of restaurant we can eat these we choose sea foods. but quite expensive here ...
Sea foods cost + cooking cost +cover charge etc...
We...´õ º¸±âThere were plenty of seafood, it was very interesting we went round and round the market. King Crabs are a common sight.. Fresh Fish if you want it sashimi style. We check the price, it was very costly. They have different layers of pricing like...´õ º¸±âMy daughter and I visited this place because we wanted to get fresh seafood, and true enough this was the perfect place. There are fresh seafood vendors inside and outside and we opted to just eat fresh sushi but there are fresh seafood inside where...´õ º¸±âHeard from friend to give it a try. Ordered crab and 2 large prawns and cost 73000 won with cooking fee. Seafood tastes very fresh.We went there after all what we heard and read about that place! We really enjoyed the evening! The food is super fresh and tasty. Picking such fresh fish isn't something you can do in many places around the world! Yes, it was pricy and...´õ º¸±â"
¸¶Æ÷¾ÆÆ®¼¾ÅÍ,9°ÇÀÇ<U+00A0>¸®ºä,¼­¿ï ¸¶Æ÷±¸ ´ëÈïµ¿ 30-3 (¿ì) 04090,272À§(933°÷ÀÇ ¼­¿ï ¼ÒÀç °ü±¤Áö Áß),Ho avuto il piacere di esibirmi in concerto come fisarmonicista solista con orchestra d¡¯archi e ho apprezzato moltissimo questo teatro. Molta professionalita cortesia e gentilezza. Spero di poterci suonare ancora! Grazie mille
Å¬·´ º¸´Ïµû ¼­¿ï,3°ÇÀÇ<U+00A0>¸®ºä,¼­¿ï ¸¶Æ÷±¸ µ¿±³·Î 191 µğºñ¿¥ºôµù ÁöÇÏ1Ãş B101È£ (¿ì) 03993,36À§(109°÷ÀÇ ¼­¿ï ¼ÒÀç ¹ã¹®È­ Áß),An informal place where You can enjoy dancing even as a beginner !The atmosphere is really cool and relaxed! It s a real pleasure to see people always smiling around You just waiting for the next song!I ve to say that Miss Jessica together with all her staff are doing a great Job!Hope to come back soon.Congratulations !!
¸Á¿ø ÇÑ°­°ø¿ø,10°ÇÀÇ<U+00A0>¸®ºä,¼­¿ï ¸¶Æ÷±¸ ¸¶Æ÷³ª·ç±æ 467 (¿ì) 04005,254À§(933°÷ÀÇ ¼­¿ï ¼ÒÀç °ü±¤Áö Áß),"This is one of Hangang Riverside Parks. The location is quite suburb and it's not that crowded normally. Once you are here, you can take a walk slowly or spend some time on lawns.There aren't many things to do. But, fishing decks are quite interesting to see. You can see people fishing there.Also, Seoul Battleship Park is locating within this park.We were staying at an Airbnb beside Mangwon Market and our host suggested that I walk to Hangang Park on the bank of the Han River, about a 10 minute walk. The walk turned out to be a little longer than that and I arrived at blue hour during some light rain.The park is pretty large and has climbing frames for kids and great views along the Han river and across the other side of buildings lit up in the night. There are also excellent views of the Seongsan Bridge which is also lit up.One of the most interesting parts of the park is the Seoul Battleship Park which is set within Mangwon Hangang Park. This park includes giant ships propellers and small navy boats both in the water and set up on stands in the park. The main building of the museum was still open but close to closing so for the cost of paying 3,000 Won to enter I gave it a miss.Overall, for bringing the kids in the daytime, for jogging and exercising or for strolling along the bank of the Han River, this is a pretty nice place to spend a little time."
È«´ë¾Õ °Å¸®,"2,230°ÇÀÇ<U+00A0>¸®ºä",¼­¿ï ¸¶Æ÷±¸ ¼­±³µ¿,25À§(933°÷ÀÇ ¼­¿ï ¼ÒÀç °ü±¤Áö Áß),"This is an incredible area of Seoul worth checking out. If you are young and visiting Seoul for the first time, I would also suggest staying in the Hongdae area, it's really never a dull moment here even at night time. Amazing restaurants that are very affordable, cheap street food and of course arts as well. You can also check out the Hongdae Free Market on Saturdays.it was a ncie street, full of cute lil things. it is basically for teenagers especially for girls. They have many quaint lit shop that sell cosmetic, jewelleries, accessories and clothings too.For my opinion should go on the night. you can saw so mouch live music and dancer on the street it was enjoy.Also you can buy clothes in the streetIt is a good place to relieve stress not only by children but alsoadults at slime cafes. The inside of the cafe is clean and the staff is kind. The price is low, soyou can build memories with friends and get closer. As soon as you start to touch it with yourhands, you will feel better.This area has a California Berkeley University flare. Diverse eatery¡¯s, beer, coffee houses, etc. The metro stop is in the middle. A great kick back place a cute walking area.Pretty cool. Lots of activity. Right behind and parallel to the street, in the evening, it is bustling. Lots of people, restaurants, and K-Pop bands showcasing their skills!Plenty of good people watching, shopping, and eating to do here. You can walk for a while and eat your way along. Fun way to spend a couple hours exploring some of the local area.Hongdae shopping street comes alive at night. Highly recommended to stay near the area if you enjoy street food with reasonably priced restaurants, fashionable streetwear, clubbing/bar hoping and noraebong (karaoke rooms). Everything night is a Friday night so a warning to those who don¡¯t enjoy crowds and noise until the wee hours of the morning.Lots of food and bars, very reasonably priced, also good for shopping. Much busier then Ewha Women¡¯s University. A must visit spot.There is food all over this area, From Korean BBQ, to Sushi, to Bibimbap, Coffee Shops you name it. My personal favorite is Bibiri for Affordable Delicious Bibimbap. It is in a basement and hard to find, but totally worth it."
¼­¿ï ¿ùµåÄÅ °æ±âÀå (»ó¾Ï ¿ùµåÄÅ °æ±âÀå),198°ÇÀÇ<U+00A0>¸®ºä,¼­¿ï ¸¶Æ÷±¸ ¼º»êµ¿ 515 (¿ì) 121-250,73À§(933°÷ÀÇ ¼­¿ï ¼ÒÀç °ü±¤Áö Áß),"It was a stadium as all the others but the people made the diffrent. Everyone was nice and friendly and took care of there dirt.Love coming here to watch Seoul FC play. It's super easy to get tickets - just come 30 mins before and get them from the ticket booth. Stadium is huge, with so many empty seats - not to worry! Seats aren't allocated, so you can...´õ º¸±âJust did the tour of the stadium
Which was pretty underwhelming. Didn¡¯t even have player jerseys hung up in dressing room. Looked old and worn out insideWent to visit Faetansium where there's some facts and histories on football (and Korean football) but mainly in Korean. But...´õ º¸±âI have been here first time for Turkey vs China football match for World Cup 2002 in Republic of Korea. Turkey : 3 - China: 0 It is a great stadium, convenient transportation and easy watching stadium.Very interesting place to visit especially Faentasium has interesting stuff that if you're a fan of football you gonna enjoy...´õ º¸±âThe massive majestic world cup stadium is impressive and fit for purpose for this day and age for major football...´õ º¸±âIt's a nice stadium. With a massive super market underneath. Really good food centre big cheap meals with a massive...´õ º¸±âSouth Korea and Japan jointly held the FIFA World Cup football tournament in 2002.
The World Cup Stadium in Seoul...´õ º¸±âIt was breath-taking when I finally saw this monument. It really stands out and so many activities going on at...´õ º¸±â"
ÇØÇÇµ¥ÀÌ½ºÆÄ È«´ëÁ¡,46°ÇÀÇ<U+00A0>¸®ºä,¼­¿ï ¸¶Æ÷±¸ ¾çÈ­·Î 112 ÁöÇÏ 1Ãş (¿ì) 04038,34À§(298°÷ÀÇ ¼­¿ï ¼ÒÀç ½ºÆÄ / À£´Ï½º Áß),"Steam bath spa is a specialty in Korea and I really wanted to try. This spa is close to where my hotel is, so I decided to get it a try. Price wise, it is very reasonable but the facilities are very old and run down. The steam room is nothing spectacular. The resting room is dirty and there is this gentleman cleaning and stacking the mattress making a lot of noise without considering people are sleeping and resting. Unless there is no other choice, I will not recommend this place.This spa is easily accessible for those staying in Hongdae. The staff don't speak a lot of English but they are willing to help. There are lockers outside the spa <U+2013> ignore these as they aren't used. If you want a scrub, make sure you have KRW.20,000 cash,which you can give to the Ajimmas in the bathes who do the scrubbing. You'll.pay KRW.10,000 at the front desk to use the baths in addition to this. Your shoes go in a small locker with a key, then you'll also get a larger locker with an RFID lock for your clothes. I got this wrong the first time and put all my things in the one locker. I was eventually corrected by one of the staff. Learn from my errors and have a great time!This was my first time at a spa, it was near 2am and it was after a night of drinking at a baseball game.Paid 9000 won to use the sauna area.Guy inside guided me what to do with the lockers and sent me on my way. I thought it was pretty nice and refreshing. Sauna, bathe, shower was refreshing. Even brushed my teeth and what not.Contrary to some of the reviews read, I got quite a relative pleasant experience here. Counter service was good. There will be uncle inside the changing room who later guided me as this was my first time here. The only thing I hoped could improved would probably be including some of the English translation. FYI, I visited close to 12 midnight.I stayed happy day spa 2 times November 2017.I paid by credit card and I did not get receipt at 2nd time.When I came back to my country and check how much I paid,I paid double price which I paid at first time.So be careful.You should always ask to get receipt.If you are thinking about using this facility, i would like to tell you not to do. Staffs are very unkind(they are only kind for so-called 'health club(fitness club)' members. And electric key does not function properly. If u want feel BAD EXPERIENCE in Korean, then I do not care.Old and worn out. Basic facilities. Staff in jjimjilbang incredibly rude, shouting at you if you fall asleep. Will never return. Siloam is much nicer in my opinion.This is my 2nd Hanjeunmuk in this trip. I came in around 5pm. Not many people. The staff was ok with English and staff let me kow the $tix by pointing the pictures. I saw some wastern customers already in the spa. I didn't order any body srub as i just did it days ago. B1-spa and shower, B2 gym, resting area. B3- Hanjeunmuk, and huge rest area.( As i remember) good place to stay and sleep if your flight (arrives/leaves) in the middle of the night. Save $.If you have been to dragon Hill spa and feel that it is very packed. Then you can try this place. It have lesser crowd which is good if you want to have some rest. It is cheaper as well. And it is nearer to myeongdong. With lots of other activities may late at night in hongik.Huge jjimjabang without all the pretentiousness of the fancier ones in town. If you want to see what an authentic jjimjabang is like; soak in the pools here, dip into the frozen room, grab some delicious food and crash out for the night."
·Ôµ¥½Ã³×¸¶ È«´ëÀÔ±¸,1°ÇÀÇ<U+00A0>¸®ºä,¼­¿ï ¸¶Æ÷±¸ ¾çÈ­·Î 176 (¿ì) 04051,132À§(285°÷ÀÇ ¼­¿ï ¼ÒÀç Áñ±æ °Å¸® / °ÔÀÓ Áß),°øÇ×Ã¶µµ È«´ëÀÔ±¸¿ª¿¡¼­ ¾ÆÁÖ °¡±î¿î À§Ä¡¿¡ ÀÖ½À´Ï´Ù. »ó¿µ°ü ¾Æ·¡ÀÇ ÃşµéÀÌ ¼îÇÎ¸ôÀÌ³ª À½½ÄÁ¡µé·Î Ã¤¿öÁ®ÀÖ¾î¼­ ¿µÈ­½Ã°£ÀÌ ³²°Å³ª ÇÒ¶§ ½Ã°£À» º¸³»±â ÁÁ½À´Ï´Ù. ´Ù¸¸ »ó¿µ°üÀÌ ÀÛÀº °ü°è·Î ½ºÄÉÀÏÀÌ Å« ¿µÈ­¸¦ º¸±â¿£ ºÎÁ·ÇÏ´Ù°í ´À²¸Áı´Ï´Ù.
¸Ş¼¼³ªÆú¸®½º¸ô,76°ÇÀÇ<U+00A0>¸®ºä,¼­¿ï ¸¶Æ÷±¸ ¾çÈ­·Î 45 (¿ì) 04036,149À§(933°÷ÀÇ ¼­¿ï ¼ÒÀç °ü±¤Áö Áß),ò¢ù»<U+9244>ùêïÌ<U+99C5>òÁÌ¿ªÎ«â<U+30FC>«ëªÇ¡¢á³ªµª¤ïÁÏ°ª¨ªÇª¹ª¬«¨«Á«å<U+30FC>«É«Ï«¦«¹ªÇØâª¤Úªª·ªŞª·ª¿¡£«¹<U+30FC>«Ñ<U+30FC>ªÎ«Û<U+30FC>«à«×«é«¹ªò××éÄª·ªŞª·ª¿¡£øÁìíªÎàªÛ°ªËú¼ª­ªŞª·ª¿ª¬¡¢ìÑªâá´ªÊª¯Øâª¤Úªª·ªäª¹ª«ªÃª¿ªÇª¹¡£«Õ<U+30FC>«É«³<U+30FC>«Èªâª¢ªêªŞª¹¡£<U+99C5>îñªËª¢ªëøµ××ªÊ«·«ç«Ã«Ô«ó«°«â<U+30FC>«ëªÇª¹¡£ªÉªÁªéª«ªÈª¤ª¦ªÈ¡¢<U+98F2>ãİïÁª¬õö<U+5B9F>ª·ªÆª¤ªëªÎª¬<U+5F37>ªßªÇª¹¡£<U+69D8><U+3005>ªÊ«¿«¤«×ªÎªªïÁª¬ª¢ªê¡¢ª¤ª¤ïÁª¬ù±ªºÌ¸ªÄª«ªëªÈŞÖª¤ªŞª¹¡£ã¿àâªâãæª·ª¯Ñ»ÕòªÇ¡¢öáîêªËÎ¦ª´ª»ªëÚâò¢ù»«ï<U+30FC>«ë«ÉªÇª¹¡£ùÛ<U+56FD>¡¢«½«¦«ëªÎò¢ù»<U+9244>2<U+53F7>àÊ¡¢6<U+53F7>àÊªÎ«Ï«×«Á«ç«ó£¨ùêïÌ£©<U+99C5>ªËòÁÌ¿ª·ª¿«·«ç«Ã«Ô«ó«°«â<U+30FC>«ëªÇª¹¡£ª¤ªíª¤ªíªÊ«·«ç«Ã«×ì¤èâªË«ì«¹«È«é«óÊ¶ªä«««Õ«§ªâõö<U+5B9F>ª·ªÆª¤ªÆ¡¢ª³ª³ªÇéÒìÑªÈÓâªÁùêªïª»ªÆ¡¢«é«ó«Áªò<U+697D>ª·ªßªŞª·ª¿¡£ûğÓŞªÎìéªÄú¾ª³ª¦ùêïÌ(«Ï«×«Á«ç«ó)ªËòÁÌ¿ª·ªÆª¤ªë«·«ç«Ã«Ô«ó«°«â<U+30FC>«ëªÇª¹¡£«Õ«¡«Ã«·«ç«ó¡¢«³«¹«á«·«ç«Ã«×¡¢ÓŞúş«¹<U+30FC>«Ñ<U+30FC>¡¢<U+98F2>ãİïÁªÈ«Ğ«é«ó«¹ªèª¯ìıªÃªÆª¤ªÆªÈªÆªâøµ××ªÇª¹¡£ªáªŞª¤ª¬ª¹ªëªÛªÉªÎìÑûèªßªÎûğÓŞªÈİïªÙª¿ªéªÏªëª«ªËìÑª¬Òıª¯ªÊª¤ªÎª¬«İ«¤«ó«ÈÍÔª¤ªÇª¹¡£«³«¹«á«·«ç«Ã«×ª«ªé«¹<U+30FC>«Ñ<U+30FC>ªŞªÇª¢ªêªŞª¹¡£ß¾ª¬«Ş«ó«·«ç«óªËªÊªÃªÆª¤ªëªÎªÇ¡¢øµ××ªÊªªïÁª¬Òıª¤ªÇª¹¡£éıÒöìÑªËğäéçª¹ªëáãªâÍÔª¤ªóªÀª½ª¦ªÇª¹¡£ªÁªçª¦ªÉéëªÎìíªËú¼ªÃª¿ª³ªÈªâª¢ªêùêïÌ<U+99C5>òÁÌ¿ªÈª¤ª¦ªÎªÏª¢ªêª¬ª¿ª«ªÃª¿ªÇª¹¡£«·«ç«Ã«Ô«ó«°«â<U+30FC>«ëªÈª·ªÆªÏÓŞúşªÇªÏª¢ªêªŞª»ªóª¬¡¢ß¾ªÎÍ­ªÏÍÔĞä«Ş«ó«·«ç«óªËªÊªÃªÆªªªê¡¢ìıªÃªÆª¤ªëïÁ<U+8217>ªÏªïªêªÈßîÚÅîÜªÊªâªÎª¬Òıª¯«ì«¹«È«é«óªâÜÜ<U+6570>ìıªÃªÆª¤ªŞª¹¡£ìíÜâªÇìÑ<U+6C17>ªÎ«Õ«¡«¹«È«Õ«¡«Ã«·«ç«óÍ§ªÏÓŞ<U+4F53>ª¢ªÃª¿ªèª¦ªÊ<U+6C17>ª¬ª·ªŞª·ª¿¡£GAPÙíìÔ«æ«Ë«¯«íªÊªÉ¡£«í<U+30FC>«é«¢«·«å«ì«¤ªâª¢ªêªŞª·ª¿¡£«««Õ«§ªâª¿ª¯ªµªóìıªÃªÆª¤ªÆéëªÎìíªËë¡ªìªºªË«·«ç«Ã«Ô«ó«°ªò<U+697D>ª·ªáªëÕŞª¤«¹«İ«Ã«ÈªÀªÈªÏŞÖª¤ªŞª¹ª¬¡¢ùÛ<U+56FD>÷åêóªÎ¡£¡£¡£ªÈª«ª½ª¦åëª¦ªÎªÇªÏÙíª¯¡¢ªÉª³ªËªÇªâª¢ªë«·«ç«Ã«Ô«ó«°«â<U+30FC>«ëîÜªÊÊïª¸ªÇª·ª¿¡£ß¾â©<U+99C5>îñĞÎª¯ªÎãİÓÑªÇ«é«ó«ÁªòãİªÙª¿ª¢ªÈ¡¢ªªß¤<U+6B69>ª·ªÊª¬ªé×öªÎ<U+99C5>ªÎª³ªÁªéªÎ«â<U+30FC>«ëªØª¤ª­ªŞª·ª¿¡£øÁìíªÎìíñéªÀªÃª¿ª³ªÈªâª¢ªê¡¢ªÉª³ªâÍöª¤ªÆª¤ªŞª·ª¿¡£ùÛ<U+56FD>÷ú«æ«Ë«¯«í£¿ªÎªèª¦ªÊ«×«Á«×«éªÎªªïÁª¢ªê£¨ÜâÊ«ªÎ«æ«Ë«¯«íªâª¢ªêªŞª·ª¿£©¡¢ª«ªïª¤ª¤<U+96D1>ü§ïÁª¢ªê¡¢ªâªÁªíªó<U+98F2>ãİïÁªä«««Õ«§ªâõö<U+5B9F>ª·ªÆª¤ªŞª·ª¿¡£ò¢ù»<U+9244>£²<U+53F7>àÊ<U+30FB>£¶<U+53F7>àÊª¬÷×ªëùêïÌ<U+99C5>ªÎ10ÛãõóÏ¢ªËòÁÌ¿ª·ªÆª¤ªë¡¢«««é«Õ«ëªÊß¡ª¬«««ï«¤«¤«·«ç«Ã«Ô«ó«°«â<U+30FC>«ëªÇª¹¡£«Û<U+30FC>«à«×«é«¹ªòªÏª¸ªá¡¢«³«¹«á«·«ç«Ã«×ªä«°«ë«áïÁ¡¢ç±<U+753B>Î½ªŞªÇª¢ªêéëªÎìíªÎ<U+89B3>ÎÃªËªÏ÷åªËªªª¹ª¹ªá¡£õÌĞÎìÑ<U+6C17>«¹«İ«Ã«ÈªÎØĞêÀÔ×ªËªâĞÎª¤ªÎªÇ¡¢ğëªòªÎªĞª·ªÆªßªÆªÏ¡£ªÛªÜ<U+6BCE>üŞ¡¢ªªªßªäª²ªòØâª¦ªÈª­ªÏª³ª³ªËª¢ªë«¹<U+30FC>«Ñ<U+30FC>£¨HomePlus£©ªò××éÄª·ªŞª¹¡£ù¡<U+63C3>ª¨ªâª¤ª¤ª·¡¢äÌª¤ªÇª¹¡£«­«à«ÁªÎÕáªê<U+58F2>ªêª¬ªÊª¤ªÎª¬<U+6B8B>Ò·ªÇª¹ª¬¡¢«Ñ«¦«Á«¿«¤«×ªÊªé<U+58F2>ªÃªÆªŞª¹¡£«¹<U+30FC>«Ñ<U+30FC>ªÎªÛª«ªËãİŞÀªÎªÇª­ªëªªïÁªâª¤ª¯ªÄª«ª¢ªëª·¡¢ûùíòù¡ªÎªªïÁªâª¢ªêªŞª¹¡£øµ××ªÇª¹:)
