review_body,review_date
"Such a rich historical site in Seoul, a lot of travelers visited Gyeongbokgung Palace that day even it was a winter. I took many photos and memories. You can find hanbok (traditional dress) rental around and enter the palace for free. Very recommended.","April 27, 2018"
"We came here after visiting Changdeokgung Palace, as we had the Secret Garden tour booked for 10:30am, so by the time we got here, it was already super crowded. Changdeokgung was nothing like this, not many people at all. Anyway, so we bought tickets and started walking around. The grounds are huge, so many houses etc. to see but I wasn't as impressed with Gyeongbokgung as I was with Changdeokgung. I have to say though that the Secret Garden at Changdeokgung was my favorite things, so maybe that's way. If I'd come again, I'd visit first thing in the morning, or just before they close. It's still nice though, not to miss.","May 1, 2018"
"What impressive about this place it is in the heart of Seoul. A mini escape. we arrived on a Wednesday and it was free entry. Beautiful grounds, amazing history. When I go back to Seoul I will go back for another look as it is definitely worthwhile.","May 1, 2018"
"A short visit to this place. I went to this place with the Korean traditional cloth - Hanbok. We rent the cloth nearby this place. When we visited Gyeongbokgung, the place is big and quiet crowded because it was the first week of spring and the students got two free-day. Well we didn't really get complete information about this place because our short time and we preferred to make some photos. ","May 1, 2018"
"Having visited the Forbidden Palace in Beijing, the Seoul counterpart is smaller, less crowded, more quaint, but no less grand. The aesthetics and beauty are Superior to Beijing in almost every way.Also a UNESCO World Heritage Site, the place feels earthy and calm. Of course, the city has sprouted up all around, obscuring what must have once been a superlative view. The palace and gardens are quite magnificent. There is quite a bit of greenery and foilage unlike the Forbidden City. While it is impossible to not compare the two, the Seoul Palace stands on its own as a place of magnificance and wonder. Get the Royal Pass and visit at least the Secret Garden and the Temple across the street. Worth the extra few 1000 won(2-3 dollars)","April 30, 2018"
Amazing historic landmark. A must-see. Join one of the tours given by student volunteers. Really great to see the pride and knowledge the youth have for their history. Very friendly and welcoming staff. Be sure to visit the gift shop for unique palace replica mementos and refreshing teas in the cafe within the shop.,"April 30, 2018"
"Gyeongbokgung Palace is one of the places to visit in Seoul. It’s a must see place on your visit and gives you a real taste of history. It’s around 3,000 KRW to enter but if you turn up wearing a traditional Hanbok, which many do for great photographic opportunities, you can get in for free. Be sure you watch one of the two daily changing of the guard ceremonies. A great spectacle. Also, be sure to confirm opening times as it closes a couple of day per week. Enjoy. ","April 30, 2018"
Wear a hanbok and enter free. Well preserved with huge grounds. Structures were maintained. We were not able to watch the famous changing of the guards but you can take photo with them. Background of the palaces were made where you can read in english version. Easy access trough gyeongbokgung station.,"April 29, 2018"
"One way to get there is by subway - Line 3 exit 5 Gyeongbokgung Station. This will bring you out directly in front of the National Palace Museum and you can freely enter a side gate into the entry courtyard. To enter the palace proper, you'll need a ticket - from the ticket booth directly across from the side gate (to the right if you enter the main gates). This was my first Korean palace and I wasn't disappointed. Many ordinary people were dressed in Hanboks (traditional dress available for free), which made the atmosphere of the palace come alive. I liked the smaller details of the walls, buildings, statues, and the few items around ie cauldrons. In some places, the grounds were empty space where buildings used to be, but there were other surprises around every corner. This could be the statues of the National Folk Museum or the massive pagoda (not the one by the lake) - You can't miss it. Note: These are still on the grounds but outside the palace - Keep your tickets to re-enter the palace. Well worth a visit.","April 28, 2018"
Changdeokgung palace is called the palace of illustrious virtue. It is a unique Korean palace built in harmony with the landscape. While we were there we were lucky enough to see the people dressed in national costumes a great photo opportunity.,"April 28, 2018"
"Such a rich historical site in Seoul, a lot of travelers visited Gyeongbokgung Palace that day even it was a winter. I took many photos and memories. You can find hanbok (traditional dress) rental around and enter the palace for free. Very recommended.","April 27, 2018"
"Going to historical places is such an interesting thing, you can see the colorful buildings the way they were built, in places like these you will probably see people wearing their traditional Korean attire waking around taking pictures which is popular to do","April 27, 2018"
Very peaceful and our favorite Palace of South Korea. You can rent a traditional dress (Renting places are very close to this Palace and we rented it 15.000 Won for 2 hours) ,"April 27, 2018"
"This palace inherits centuries of history way back from 15th. It was destroyed and rebuilt somewhere in 19th century.Fully built with wood, the main meeting hall is an amazing architecture. Can spend a half day in here, including the neighbouring muzeum. ","April 26, 2018"
"One your trip to Seoul you have to visit one of the palaces. This one is the biggest. I’d describe it more like a compound . In that it has many buildings and courtyards within the outside walls. The cost is just a few dollars to enter the main gate. You will likely see folks dressed in traditional Korean attire waking around taking pictures etc. it’s popular to do, and encouraged in that they get in free if they are dressed accordingly. We saw at least two wedding parties taking photos there. There are English translations on most displays. I believe you can rent audio guides if you want. The palace grounds are large, with ponds and courtyards. It’s a very night stroll around to check it all out.","April 25, 2018"
"Visited the palace with kids, the palace had guards dressed in their traditional outfits there were heaps of tourists dressed in traditional dresses too really colorful and a pretty site.The palace itself is quite large has multiple gates and building. You could spend anywhere from 30 mins to a couple of hours. There are restrooms around the a traditional tea house. There is also attached is a arts museum which can be visited","April 25, 2018"
"This is a nice looking palace with large grounds.The experience is heightened by dressing in the colourful traditional Korean clothes called hanbok. You get free entry to the palace grounds if you wear a hanbok and you won't be out of place as there are many others wearing hanbok as well. We were able to get men and women hanbok for 5000 won each for 2 hours, at ABC Hanbok Rental which is located on the second floor of a building across the road from the palace on the Geonchunmun Gate side.Changing of guard ceremonies at 1pm and 2pm were worth watching, as well as guard training at 1:35pm. A 'Mexican wave' of swords drill was particularly impressive! There are free guided tours as well. There was an English speaking guided tour at 1:30pm, which seemed quite popular. We didn't go to that as the timing clashed with the guard training session.A good place to get a photo is the banquet hall to the left side surrounded by water and mountain in the background.","April 25, 2018"
Gyeongbokgung palace is very impressiveIt is a large place and in the open It tells us about the culture the history and how people lived in that era. It has a lovely walkway enveloped with lovely cherry blossom trees and benches to rest on. A lovely place to capture photographs. It has a small cafe to unwind. Entry is free if one wears the traditional clothes which can be hired in a nearby place. It was wonderful to see so many youngsters wearing their Grady costumes with lovely hairstyles and wearing gorgeous accessories. We took many pictures with them and wished we had also hired those traditional clothes I highly recommend a visit to the Gyeongjokjung Palace,"April 25, 2018"
"Very nice palace, with a beautiful lake, but very crowded and not much to see inside. People seem to go there mostly to take pictures in hanboks and not to experience the place itself. Entrance is very cheap. ","April 24, 2018"
"It’s a lovely complex. I personally skipped the tour because I could get the history online (and there are video clips of the tour). Also, if you are looking for a reduction in crowds, get there just before the changing of the guard (everyone is watching them, so you have more photo opportunities without the crowds). This worked for me because I had other cultural activities on my itinerary. I did a quick walk around by myself in under an hour. ","April 24, 2018"
Absolutely stunning I will recommend fitting a visit while on Seoul.We went on a Sunday and loads of Koreans and even more tourists were dressing up with the traditional Hanok which made the palace and it’s surroundings have an even more special feeling.Need to buy ticket at the counter but costs only around £3.Must do to visit the building with the lake for amazing shots.,"April 23, 2018"
"Going to historical places is such an interesting thing, you can see the colorful buildings the way they were built, in places like these you will probably see people wearing their traditional Korean attire waking around taking pictures which is popular to do","April 27, 2018"
Very peaceful and our favorite Palace of South Korea. You can rent a traditional dress (Renting places are very close to this Palace and we rented it 15.000 Won for 2 hours) ,"April 27, 2018"
"This palace inherits centuries of history way back from 15th. It was destroyed and rebuilt somewhere in 19th century.Fully built with wood, the main meeting hall is an amazing architecture. Can spend a half day in here, including the neighbouring muzeum. ","April 26, 2018"
"One your trip to Seoul you have to visit one of the palaces. This one is the biggest. I’d describe it more like a compound . In that it has many buildings and courtyards within the outside walls. The cost is just a few dollars to enter the main gate. You will likely see folks dressed in traditional Korean attire waking around taking pictures etc. it’s popular to do, and encouraged in that they get in free if they are dressed accordingly. We saw at least two wedding parties taking photos there. There are English translations on most displays. I believe you can rent audio guides if you want. The palace grounds are large, with ponds and courtyards. It’s a very night stroll around to check it all out.","April 25, 2018"
"Visited the palace with kids, the palace had guards dressed in their traditional outfits there were heaps of tourists dressed in traditional dresses too really colorful and a pretty site.The palace itself is quite large has multiple gates and building. You could spend anywhere from 30 mins to a couple of hours. There are restrooms around the a traditional tea house. There is also attached is a arts museum which can be visited","April 25, 2018"
"This is a nice looking palace with large grounds.The experience is heightened by dressing in the colourful traditional Korean clothes called hanbok. You get free entry to the palace grounds if you wear a hanbok and you won't be out of place as there are many others wearing hanbok as well. We were able to get men and women hanbok for 5000 won each for 2 hours, at ABC Hanbok Rental which is located on the second floor of a building across the road from the palace on the Geonchunmun Gate side.Changing of guard ceremonies at 1pm and 2pm were worth watching, as well as guard training at 1:35pm. A 'Mexican wave' of swords drill was particularly impressive! There are free guided tours as well. There was an English speaking guided tour at 1:30pm, which seemed quite popular. We didn't go to that as the timing clashed with the guard training session.A good place to get a photo is the banquet hall to the left side surrounded by water and mountain in the background.","April 25, 2018"
Gyeongbokgung palace is very impressiveIt is a large place and in the open It tells us about the culture the history and how people lived in that era. It has a lovely walkway enveloped with lovely cherry blossom trees and benches to rest on. A lovely place to capture photographs. It has a small cafe to unwind. Entry is free if one wears the traditional clothes which can be hired in a nearby place. It was wonderful to see so many youngsters wearing their Grady costumes with lovely hairstyles and wearing gorgeous accessories. We took many pictures with them and wished we had also hired those traditional clothes I highly recommend a visit to the Gyeongjokjung Palace,"April 25, 2018"
"Very nice palace, with a beautiful lake, but very crowded and not much to see inside. People seem to go there mostly to take pictures in hanboks and not to experience the place itself. Entrance is very cheap. ","April 24, 2018"
"It’s a lovely complex. I personally skipped the tour because I could get the history online (and there are video clips of the tour). Also, if you are looking for a reduction in crowds, get there just before the changing of the guard (everyone is watching them, so you have more photo opportunities without the crowds). This worked for me because I had other cultural activities on my itinerary. I did a quick walk around by myself in under an hour. ","April 24, 2018"
Absolutely stunning I will recommend fitting a visit while on Seoul.We went on a Sunday and loads of Koreans and even more tourists were dressing up with the traditional Hanok which made the palace and it’s surroundings have an even more special feeling.Need to buy ticket at the counter but costs only around £3.Must do to visit the building with the lake for amazing shots.,"April 23, 2018"
"There are a lot of palaces in Seoul, but Gyeongbokgung is definitely one of the more interesting palaces. It can be quite busy at times so make sure to check the best times of day to visit. If visiting at night is an option I would recommend this during summer as there is an amazing light show running every hour. Friendly to all ages.","April 23, 2018"
"Impressive palace with lots of history and culture. The place is massive, with lots of ground to cover and sites to see. The moat with island was closed and under maintenance when we visited in April 2018. I think it is set to re-open this fall. You can peek in from open windows and see over the wall at times from around the grounds however.Located in downtown Seoul, you can see this palace in a couple hours and right next door on the way out is the Nation Folk Museum. I recommend seeing all of the palace before going to the folk museum as you will not be let back on the palace grounds after 5PM.","April 23, 2018"
We did not realize the scale of this palace complex. The most interesting part was the Koreans (and likely tourists) that dress up in traditional costumes to visit the Palace. This certainly adds to the effect and sense of history.,"April 23, 2018"
Do make sure that you dress up in hanbok (you can hire them nearby) and walk around the grounds of the palace. Make sure you are there for the changing of the guards because it is an amazing sight. It is a truly beautiful palace and a big part of the history of South Korea.,"April 23, 2018"
"Had 13 hours on a layover in Seoul so only enough time to see 1 of the many beautiful sights in the city. So glad I chose Gyeongbokgung Palace. The complex is huge, the architecture stunning. It was quite busy but that did not deter from my enjoyment. Serene, beautiful and made me want to see more so definitely planning a return trip. I would highly recommend a visit if you are in Seoul; even for a layover. Took about 1.5 hours each way to get there from the airport but well worth the time.","April 22, 2018"
This former kings palace in Korea is amazing. It reminds me of the forbidden city but on a slightly more human scale. I love that one is allowed to just wonder around and linger in shady spots. It is adored by the teenagers who wonder how one could have lived here. I highly recommend a visit even on a short trip to Seoul. ,"April 22, 2018"
Beautiful and majestic palace with views of Seoul and the surrounding hills. The self/ guided tour is easy with literature available in multiple languages. Allow enough time to tour the grounds and see the beautiful cherry blossoms (in April) and architecture. ,"April 22, 2018"
You can reach here by seoul metro and stop at Gwa ghamun station. The palace is great and have much instagramable spots to take.,"April 20, 2018"
"If one has to pick one palace to visit in Seoul, I would recommend Gyeongbokgung palace! We went at 1000am in the morning and watched the colorful change of guard ceremony. The palace is huge and takes time and lot of walking to explore the entire place. It was spring time and quite beautiful with the cherry blossoms. Lot of tourists and locals in hanbok added to the colorful atmosphere. There is a cafe inside to take rest after walking and warming up in cold weather. The palace is spread out so it doesnt feel crowded even when there are lot of people around. It was an enjoyable visit.","April 20, 2018"
"While mechanical problems in Seattle caused us to miss our connection to India, the 24 hour delay awaiting our next connection opportunity gave us an awesome chance to see some of Korea. The first stop on our free layover tour provided by Incheon Airport was Gyeongbokgung Palace. Steeped in history, and quite well preserved, the Palace grounds we found were quite large, and filled with palace structures and artifacts. The interiors of the palace were quite well preserved, awash in colored interior spaces, and the palace was teaming in costumed Korean soldiers of around 16th century Korea. The changing of the guard ceremony happens in the afternoon, and it's quite a flamboyant spectacle with many costumed participants. The ceremony lasts around a half an hour, and is well worth a pic or two. To add to the historical flavor, many locals come in costume to the Palace, and parade around the grounds. I had heard many weddings also take place at the Palace, however, that was just traveler talk, nothing from anyone official.Self guiding audio tours with earbuds are available in many languages at the entry, and there seemed to be an ample supply. As far as entry costing goes, I have no idea, as it was included in our airport layover tour.We found it worth the effort, and would recommend it to anyone exploring Seoul.","April 19, 2018"
"There are a lot of palaces in Seoul, but Gyeongbokgung is definitely one of the more interesting palaces. It can be quite busy at times so make sure to check the best times of day to visit. If visiting at night is an option I would recommend this during summer as there is an amazing light show running every hour. Friendly to all ages.","April 23, 2018"
"Impressive palace with lots of history and culture. The place is massive, with lots of ground to cover and sites to see. The moat with island was closed and under maintenance when we visited in April 2018. I think it is set to re-open this fall. You can peek in from open windows and see over the wall at times from around the grounds however.Located in downtown Seoul, you can see this palace in a couple hours and right next door on the way out is the Nation Folk Museum. I recommend seeing all of the palace before going to the folk museum as you will not be let back on the palace grounds after 5PM.","April 23, 2018"
We did not realize the scale of this palace complex. The most interesting part was the Koreans (and likely tourists) that dress up in traditional costumes to visit the Palace. This certainly adds to the effect and sense of history.,"April 23, 2018"
Do make sure that you dress up in hanbok (you can hire them nearby) and walk around the grounds of the palace. Make sure you are there for the changing of the guards because it is an amazing sight. It is a truly beautiful palace and a big part of the history of South Korea.,"April 23, 2018"
"Had 13 hours on a layover in Seoul so only enough time to see 1 of the many beautiful sights in the city. So glad I chose Gyeongbokgung Palace. The complex is huge, the architecture stunning. It was quite busy but that did not deter from my enjoyment. Serene, beautiful and made me want to see more so definitely planning a return trip. I would highly recommend a visit if you are in Seoul; even for a layover. Took about 1.5 hours each way to get there from the airport but well worth the time.","April 22, 2018"
This former kings palace in Korea is amazing. It reminds me of the forbidden city but on a slightly more human scale. I love that one is allowed to just wonder around and linger in shady spots. It is adored by the teenagers who wonder how one could have lived here. I highly recommend a visit even on a short trip to Seoul. ,"April 22, 2018"
Beautiful and majestic palace with views of Seoul and the surrounding hills. The self/ guided tour is easy with literature available in multiple languages. Allow enough time to tour the grounds and see the beautiful cherry blossoms (in April) and architecture. ,"April 22, 2018"
You can reach here by seoul metro and stop at Gwa ghamun station. The palace is great and have much instagramable spots to take.,"April 20, 2018"
"If one has to pick one palace to visit in Seoul, I would recommend Gyeongbokgung palace! We went at 1000am in the morning and watched the colorful change of guard ceremony. The palace is huge and takes time and lot of walking to explore the entire place. It was spring time and quite beautiful with the cherry blossoms. Lot of tourists and locals in hanbok added to the colorful atmosphere. There is a cafe inside to take rest after walking and warming up in cold weather. The palace is spread out so it doesnt feel crowded even when there are lot of people around. It was an enjoyable visit.","April 20, 2018"
"While mechanical problems in Seattle caused us to miss our connection to India, the 24 hour delay awaiting our next connection opportunity gave us an awesome chance to see some of Korea. The first stop on our free layover tour provided by Incheon Airport was Gyeongbokgung Palace. Steeped in history, and quite well preserved, the Palace grounds we found were quite large, and filled with palace structures and artifacts. The interiors of the palace were quite well preserved, awash in colored interior spaces, and the palace was teaming in costumed Korean soldiers of around 16th century Korea. The changing of the guard ceremony happens in the afternoon, and it's quite a flamboyant spectacle with many costumed participants. The ceremony lasts around a half an hour, and is well worth a pic or two. To add to the historical flavor, many locals come in costume to the Palace, and parade around the grounds. I had heard many weddings also take place at the Palace, however, that was just traveler talk, nothing from anyone official.Self guiding audio tours with earbuds are available in many languages at the entry, and there seemed to be an ample supply. As far as entry costing goes, I have no idea, as it was included in our airport layover tour.We found it worth the effort, and would recommend it to anyone exploring Seoul.","April 19, 2018"
"It was built in 1395, it continued to serve as the main palace of the Joseon dynasty until the premises were destroyed by fire during the Imjin War and abandoned for two centuries","April 19, 2018"
"The place was huge, get your hanbok and you can get inside for free, you could tour all the palaces, it's just the distances between them takes a long walk. One hour is not enough to tour this place.","April 18, 2018"
"This palace site is REALLY big and even on our guided tour we probably only saw about half of it.Hard to tell what is original and what is rebuilt - take that as a criticism or a compliment, it works both ways.The changing of the guard was colourful and loud and looked pretty professional. Lots and lots of schoolkids made it a bit manic at timesNeeded lots more insitu explanation boards and direction signs","April 18, 2018"
"Palace is beautiful but disappointed that it didn’t have clear directions.I wish the buildings were labeled with a numbering system (and a starting point) and a more detailed explanation of each structure. Info pamphlet, 500 won, was in very small font and difficult to read. Also, it would be nice if the cleaning staff can clean and quietly during non-tour hours. They were yelling at each other inside the structures with the tourists looking on. We were at the Nijo Castle in Kyoto just couple of days prior to this visit. Plenty of explanations and quiet working staff in uniform. Also, it was disappointing to see sub-par restorations (for some parts) to a national treasure. ","April 17, 2018"
"I think a visit to Seoul for any first timer is not complete without a stopover to this Grand Palace located in the heard of Seoul. A grand palace it is indeed! The grounds were well kept, and the landscaping made it so serene and calm (apart from the busy groups of tourists taking selfies in their beautiful rented hanboks)The changing of the guards is a must see too!","April 16, 2018"
"The last time when I took the English tour, the guide was merely running through basics. But I brought my parents along this time around and we joined the Chinese tour. It was one of the most enjoyable time during our stay there. The guide was knowledgeable and friendly. ","April 16, 2018"
"We went to see the changing of the guard at 9:00 a.m. Very nice presentation, with dozens of elaborately, historically dressed soldiers. The Palace complex is a grand, interesting sight, but that’s about it. As a foreign tourist who has a limited knowledge of Korea, I couldn’t quite appreciate the history by walking around looking at buildings. Most viewing was only from the outside, except occasionally being allowed to look inside a door or window. Nearby was the Korean National Folk Museum, which focused more on the Korean way of life, including the evolution of the clothing, cooking, farming and family upbringing.","April 16, 2018"
"I think is the best historic place in Seoul, but there are better shrines in other Asian countries. If you are not a history gig and don't understand much about these places , so it would like all others shrines. Only thing makes it little different is the size. Is really big.","April 16, 2018"
"Seoul has about 5 palaces to see but gyeongbokgung is the most interesting for me. It is situated in an area surrounded by a Mountain View with nearby places like museums, restaurants and the bukchon hanok village. Experience the changing of the guards at 11am and 2pm.","April 15, 2018"
Near the palace there are hanbok rent places. You can rent there and take photos at Gyeongbokgung. The palace is look like the one in the dramas so you can pretend to be the protagonist of saeguk dramas for a moment,"April 15, 2018"
"It was built in 1395, it continued to serve as the main palace of the Joseon dynasty until the premises were destroyed by fire during the Imjin War and abandoned for two centuries","April 19, 2018"
"The place was huge, get your hanbok and you can get inside for free, you could tour all the palaces, it's just the distances between them takes a long walk. One hour is not enough to tour this place.","April 18, 2018"
"This palace site is REALLY big and even on our guided tour we probably only saw about half of it.Hard to tell what is original and what is rebuilt - take that as a criticism or a compliment, it works both ways.The changing of the guard was colourful and loud and looked pretty professional. Lots and lots of schoolkids made it a bit manic at timesNeeded lots more insitu explanation boards and direction signs","April 18, 2018"
"Palace is beautiful but disappointed that it didn’t have clear directions.I wish the buildings were labeled with a numbering system (and a starting point) and a more detailed explanation of each structure. Info pamphlet, 500 won, was in very small font and difficult to read. Also, it would be nice if the cleaning staff can clean and quietly during non-tour hours. They were yelling at each other inside the structures with the tourists looking on. We were at the Nijo Castle in Kyoto just couple of days prior to this visit. Plenty of explanations and quiet working staff in uniform. Also, it was disappointing to see sub-par restorations (for some parts) to a national treasure. ","April 17, 2018"
"I think a visit to Seoul for any first timer is not complete without a stopover to this Grand Palace located in the heard of Seoul. A grand palace it is indeed! The grounds were well kept, and the landscaping made it so serene and calm (apart from the busy groups of tourists taking selfies in their beautiful rented hanboks)The changing of the guards is a must see too!","April 16, 2018"
"The last time when I took the English tour, the guide was merely running through basics. But I brought my parents along this time around and we joined the Chinese tour. It was one of the most enjoyable time during our stay there. The guide was knowledgeable and friendly. ","April 16, 2018"
"We went to see the changing of the guard at 9:00 a.m. Very nice presentation, with dozens of elaborately, historically dressed soldiers. The Palace complex is a grand, interesting sight, but that’s about it. As a foreign tourist who has a limited knowledge of Korea, I couldn’t quite appreciate the history by walking around looking at buildings. Most viewing was only from the outside, except occasionally being allowed to look inside a door or window. Nearby was the Korean National Folk Museum, which focused more on the Korean way of life, including the evolution of the clothing, cooking, farming and family upbringing.","April 16, 2018"
"I think is the best historic place in Seoul, but there are better shrines in other Asian countries. If you are not a history gig and don't understand much about these places , so it would like all others shrines. Only thing makes it little different is the size. Is really big.","April 16, 2018"
"Seoul has about 5 palaces to see but gyeongbokgung is the most interesting for me. It is situated in an area surrounded by a Mountain View with nearby places like museums, restaurants and the bukchon hanok village. Experience the changing of the guards at 11am and 2pm.","April 15, 2018"
Near the palace there are hanbok rent places. You can rent there and take photos at Gyeongbokgung. The palace is look like the one in the dramas so you can pretend to be the protagonist of saeguk dramas for a moment,"April 15, 2018"
"The Gyeongbokgung Palace was our highlight of the trip because we rented Hanbok, the traditional dress to take pictures here. For those wear Hanbok or Korean Traditional Clothes, no entrance fee is required. We rented our Hanbok at a nearby shop. Within walking distance, we can reach the Palace. The scenery was beautiful and when we took the pictures, we thought we were transported back to the ancient time. You can see many different colors and design of Hanbok in the Palace. The view was spectacular. Gyeongbokgung Palace is the most visited among the five palaces in Seoul. Hence, you can expect the number of visitors here. We took every opportunity to take pictures while admiring the beauty of this Palace. We then visited the museum to learn more about the history of the Palace and the emperors.","April 15, 2018"
"Great place, if you're wearing a hanbuk (Korean traditional dress) your entrance is totally FREE.. Explore the Korean world, ild Korean Style","April 15, 2018"
"do go early to watch the guards changing shift ceremony which start at 10am. The whole ceremony last about 20mins, you can take photo with the guard thereafter but remember don’t touch them ","April 14, 2018"
"My friends and I were limited with time so we went to the most touristy of the touristy and it did not disappoint. Although it rained and stayed cloudy for the rest of the day (so there wasn’t a changing of the guards ceremony), it was breathtakingly beautiful. Every inch of the palace was photo-worthy. What I loved the most was that it was free to enter if you rented a hanbok! ","April 14, 2018"
"If you want a full on memorable experience here, rental a hanbok before you go. The girls wearing them were so cute that I regretted not getting one. This place is great for photo ops and roaming around the entire place to learn about how they lived centuries ago. It’s huge so you could spend at least 2 hours here. Not recommended on a hot summer day because you’re pretty much out out in the open. This one is larger than the UNESCO palace and better in my opinion. If you’re visiting Seoul, Myeongdong this is highly recommended. It’s walking distance to the cute Bukchon Village where people roam around in their hanboks as well. Great experience, I’d do it again but this time wearing a hanbok. ","April 14, 2018"
"A must see location for tourists, but once you see one Korean palace, you've seen all korean palaces.","April 13, 2018"
A highlight of our visit was the changing of the guard ceremony at 10am. We also got to see some cherry blossoms. Well restored buildings and brochures telling about the history are available in English.,"April 13, 2018"
a great place to visit. would recommend planning your visit ahead of time as the palace is not open every day (closed on Tuesdays i thInk). There are set times for changing of the guards so again check out the times if you want to see this,"April 13, 2018"
"Visited 20 yrs ago. A v quite palace but now a bit crowded. Visitors wearing traditional Korea costume, taking fotos everywhere, esp under the cherry tree. A bit annoying","April 13, 2018"
"Only gave it a passing review - because I did this without a tour, and it was really boring :X. The compound is huge, u can't step into the building but look at it from outside only. There's tons of tourists wearing hanbok which I feel it is one of the must-do experience. As u venture into the further parts, there are less and lesser tourists but the same building and mini gardens, sigh - tour guide is a must.Don't miss the guard changing routing like I did :( there's 2 rounds of it in a day check out the timing. ","April 13, 2018"
"The Gyeongbokgung Palace was our highlight of the trip because we rented Hanbok, the traditional dress to take pictures here. For those wear Hanbok or Korean Traditional Clothes, no entrance fee is required. We rented our Hanbok at a nearby shop. Within walking distance, we can reach the Palace. The scenery was beautiful and when we took the pictures, we thought we were transported back to the ancient time. You can see many different colors and design of Hanbok in the Palace. The view was spectacular. Gyeongbokgung Palace is the most visited among the five palaces in Seoul. Hence, you can expect the number of visitors here. We took every opportunity to take pictures while admiring the beauty of this Palace. We then visited the museum to learn more about the history of the Palace and the emperors.","April 15, 2018"
"Great place, if you're wearing a hanbuk (Korean traditional dress) your entrance is totally FREE.. Explore the Korean world, ild Korean Style","April 15, 2018"
"do go early to watch the guards changing shift ceremony which start at 10am. The whole ceremony last about 20mins, you can take photo with the guard thereafter but remember don’t touch them ","April 14, 2018"
"My friends and I were limited with time so we went to the most touristy of the touristy and it did not disappoint. Although it rained and stayed cloudy for the rest of the day (so there wasn’t a changing of the guards ceremony), it was breathtakingly beautiful. Every inch of the palace was photo-worthy. What I loved the most was that it was free to enter if you rented a hanbok! ","April 14, 2018"
"If you want a full on memorable experience here, rental a hanbok before you go. The girls wearing them were so cute that I regretted not getting one. This place is great for photo ops and roaming around the entire place to learn about how they lived centuries ago. It’s huge so you could spend at least 2 hours here. Not recommended on a hot summer day because you’re pretty much out out in the open. This one is larger than the UNESCO palace and better in my opinion. If you’re visiting Seoul, Myeongdong this is highly recommended. It’s walking distance to the cute Bukchon Village where people roam around in their hanboks as well. Great experience, I’d do it again but this time wearing a hanbok. ","April 14, 2018"
"A must see location for tourists, but once you see one Korean palace, you've seen all korean palaces.","April 13, 2018"
A highlight of our visit was the changing of the guard ceremony at 10am. We also got to see some cherry blossoms. Well restored buildings and brochures telling about the history are available in English.,"April 13, 2018"
a great place to visit. would recommend planning your visit ahead of time as the palace is not open every day (closed on Tuesdays i thInk). There are set times for changing of the guards so again check out the times if you want to see this,"April 13, 2018"
"Visited 20 yrs ago. A v quite palace but now a bit crowded. Visitors wearing traditional Korea costume, taking fotos everywhere, esp under the cherry tree. A bit annoying","April 13, 2018"
"Only gave it a passing review - because I did this without a tour, and it was really boring :X. The compound is huge, u can't step into the building but look at it from outside only. There's tons of tourists wearing hanbok which I feel it is one of the must-do experience. As u venture into the further parts, there are less and lesser tourists but the same building and mini gardens, sigh - tour guide is a must.Don't miss the guard changing routing like I did :( there's 2 rounds of it in a day check out the timing. ","April 13, 2018"
"Nice to see a palace from Joseon Dynasty, I watched Korean drama and Joseon Era is always shown. Nothing much to see inside, the fee was $3; some people dressed up in hanbok dresses and walked around the palace and take pictures. The change of guards was great to see, they do it every half hour.","April 12, 2018"
"The Palace is beautiful. Our tour guide, with quite a sense of humor, did a great job explaining the history and present-day status of the palace. There as a medium-sized crowd overall, and good thing we had our jackets! It was cold!! The palace is worth visiting! Truly iconic! If you have limited time, be sure to add this to your tour list! Lots of nearby restaurants too. The mountain scenery is breathtaking! ","April 12, 2018"
"Try to get to the palace for the 10am guard changing. Seeing all the tourists in traditional costume is hilarious, and like nothing I’ve seen anywhere in the world. Sadly, the palace is mostly a replication of the 14thc original, which burned down and was sacked by conquerers, but still a worthy visit. ","April 12, 2018"
This was the first palace I went to and I'm not sure if I find it that amazing... Probably if I have more time to go around and explore the entire compound. There were many tourists around that was probably why I did not enjoy it that much. It's great for experience purposes if you want to get exposed to Korean culture. There are a lot of things to do outside as well so you need not worry where to eat and stuff. It's also near other famous palaces and Insadong.,"April 12, 2018"
"The largest and oldest palace in Seoul, which is one in five of the palaces.This place combines historical stories,beautiful architecture and nature. I love here. Recommend to visit.","April 11, 2018"
"This palace is very large and grand. It was nice catching the performance of the changing of guards. If you missed the performance here, you can catch another one at Deoksugong. Our Chinese guide for the free tour impressed us with her good language skills and extensive knowledge. We learnt a lot about the Korean history and culture. The visit will not be half as good without the guide, it would just be buildings of which we would know little about. To take the tour, wait at the appointed time at the black stand just after the entrance. Highlights were the building in which Korean language Hanggul was invented by King Sejong (although original is no longer there), pavilion with rows of cherry blossoms in front of lake, hidden dragons at the main shrine hall, the decorated main chimney chute for emissions from ten rooms. Other than that the rest are similar to the other palaces. Each palace has a different history and usage, we visited each one in the combined pass each time taking the guided tour and it was still interesting. Don’t miss out the Korean folk museum and the north village which have free admission and are connected to the palace.","April 10, 2018"
The place was so big and amazing. Very unique on its own. The people will also perform their traditional dance and parade.,"April 10, 2018"
"When visiting Gyeongbokgung Palace, you must wear the traditional korean clothes ( don't pay the entrance fee ) It gives the tour a special feeling of the past times.","April 10, 2018"
